Ihre Lieblingsfarbe ist Rosarot.,Her favourite colour is pink.
Meine Katze schläft gerne auf meinem Schoß.,My cat likes to sleep in my lap.
Weiße Socken passen nicht zu schwarzen Hosen.,White socks don't go with black trousers.
"Ich kaufe nur teure Unterwäsche, weil sie besser sitzt.",I only buy expensive underwear because it fits better.
Dieser Hocker ist zu hoch für meine kurzen Beine.,This stool is too high for my short legs.
Meine Wohnung ist im 3. Obergeschoss.,My flat is on the 3rd floor.
Grüß dich! Wie geht es dir?,Hello! How are you?
Schnecken brauchen eine feuchte Umgebung um zu gedeihen.,Slugs need a moist environment to thrive.
Kann ich auf deine Unterstützung zählen?,Can I count on your support?
Ich möchte meine Wohnung für sechs Monate vermieten.,I want to rent out my flat for six months.
Ich muss meinen linken Scheinwerfer reparieren lassen.,I have to have my left headlight repaired.
Gab es während meiner Abwesenheit einen Anruf?,Was there a telephone call while I was away?
Die Kinder rennen auf dem Spielplatz herum.,The children run around the playground.
Der Friedhof ist ein Ort der Ruhe und des Friedens.,The cemetery is a place of peace and quiet.
Es gab viel Wirbel um nichts.,There was much fuss about nothing.
Deine Prüfung ist morgen? Toi-toi-toi!,Your exam is tomorrow? Touch wood!
Ich erhielt den Job aufgrund seiner Empfehlung.,I got the job due to his recommendation.
"Ich wette, er hat seine Hausaufgaben wieder nicht gemacht.",I bet he hasn't done his homework again.
Bitte achte auf den Straßenverkehr!,Please pay attention to the traffic!
Der Hersteller lieferte die Ersatzteile kostenlos.,The manufacturer delivered the spare parts for free.
Lass uns am Ufer sitzen und den Schiffen zusehen.,Let's sit on the shore and watch the ships.
Mach' dir das Essen einfach in der Mikrowelle warm.,Just heat up your food in the microwave oven.
Ausreichend Schlaf ist wesentlich für die Gesundheit.,Sufficient sleep is essential for one's health.
In seinem Brief drückte er all seine Freude aus.,In his letter he expressed all his joy.
Die Firma musste wegen Verdachts auf Betrug Konkurs anmelden.,"The company filed for bankruptcy, due to allegations of fraud."
Er ist nicht wirklich nett. Das ist alles nur Schein.,He is not all that nice. He just appears to be.
Ich kann diese Website nicht aufrufen.,I cannot view this website.
Du lieber Himmel! Bayern München hat gestern verloren!,Good heavens! Bayern Munich lost yesterday!
Schweinekotelett ist ein typisch deutsches Essen.,Pork chops is a typical German dish.
Der Bücherschrank muss zusammengebaut werden.,The bookcase has to be assembled.
Zuerst müssen wir die alte Tapete entfernen,At first we need to remove the old wallpaper.
Der Verdächtige wurde in Haft genommen.,The suspect was taken into custody.
Diese Pflanze gedeiht in feuchten Bedingungen.,This plant flourishes in humid conditions.
Holst du mal die Teekanne vom Regal?,Can you get the teapot from the shelf?
Taucher verständigen sich über Handzeichen.,Scuba divers communicate through hand signals.
"Na, wo willst du hin?","Well, where do you want to go?"
Was hast du gegen ihn?,Why don't you like him? What do you have against him?
Die Kleiderbügel hängen im Schrank.,The clothes hangers are in the wardrobe.
Zum Glück war kein Wirbel gebrochen.,Fortunately none of the vertebrae was broken.
Die Frist für die Rückzahlung läuft am 31. Juni ab.,The deadline for repayment is the 31st of June.
"Wir haben vereinbart, dass er sie von der Schule abholt.",We agreed that he picked her up from school.
Asiaten achten ältere Menschen sehr.,Asians respect older people very much.
Fast alle seine Socken haben Löcher.,Almost all his socks have got holes in it.
Das war ein heiterer Abend.,This was a cheerful evening.
Der Schein trügt.,Appearances are deceptive.
Was für eine Tätigkeit üben Sie gerade aus?,What kind of work do you currently do?
"Es macht viel Aufwand, eine Hochzeit zu organisieren.",It takes much effort to organise a wedding.
Mein Ehegatte würde mich niemals betrügen.,My spouse would never cheat on me.
Er wird noch ein weiteres Jahr in Haft bleiben.,He will still be in custody for another year.
Wir sollten einen Experten zu Rate ziehen.,We should consult an expert.
Er hat so einen Wirbel darum gemacht.,He made such a fuss about it.
Kann ich bitte noch einen Fleischkloß haben?,Can I have another meatball please?
"Er isst mit seinen Händen, nicht mit Besteck.","He eats with his hands, not with cutlery."
Für was kann man dieses Werkzeug einsetzen?,How can you employ this tool?
Der Pfeil gab die falsche Richtung an.,The arrow pointed in the wrong direction.
Schotten essen gerne Haferbrei zum Frühstück.,Scottish people like to eat oatmeal for breakfast.
Das Muster dieser Tapete ist zu altmodisch.,The pattern of this wallpaper is too old fashioned.
Dieses Verfahren ist bewährt.,This is a well-tested procedure.
Es gibt eine freie Stelle in der Verwaltung.,There is a vacancy in administration.
Ich muss viel arbeiten und deswegen gehe ich selten aus.,"I work a lot, and for that reason I don't go out much."
Ein großes Dankeschön geht an meine Schwester!,A big thanks to my sister!
Das Bücherregal muss zusammengebaut werden.,The bookshelf needs to be assembled.
Ich kann Ihnen gewiss dabei helfen.,I can certainly help you with that.
Ihre Rachgier war beispiellos.,Her thirst for revenge was without precedent.
Kannst du einen Schlips binden?,Are you able to tie a necktie?
Wasser ist ein sehr guter Leiter für Strom.,Water is an excellent conductor for electricity.
Der Leiter dieser Abteilung ist im Urlaub.,The manager of this department is on holiday.
Wir lösen das Problem mit einem neuen Ansatz.,We will solve the problem using a new approach.
Diese Aktien sind eine gute Anlage.,These shares are a good investment.
An der Grenze muss man durch den Zoll.,"At the border, one has to go through customs."
Lehrer ebenso wie Schüler freuen sich auf die Ferien.,Teachers and students alike look forward to the holidays.
Ich belege mein Brot mit Käse.,I put cheese on my sandwich.
Jetzt bin ich an der Reihe!,It's my turn now!
"Soweit ich weiß, ist er geschieden.","As far as I know, he is divorced."
Das Produkt hat meine Anforderungen erfüllt.,The product has met my requirements.
Hast du gar kein Schamgefühl?,Do you have no shame?
Ein anderer Bewerber bekam die Stelle.,Another candidate got the job.
Er bringt seine Verlobte mit.,He is bringing his fiancée.
Ich möchte Sie auf etwas hinweisen.,I would like to point something out to you.
"Ich stellte fest, dass die Aufgabe sehr einfach war.",I realized that the task was very easy.
Preiselbeeren sind lecker.,Cranberries are tasty.
Wer so etwas glaubt hat nichts im Hirn.,Whoever believes this kind of stuff has no brains.
Türkis ist meine Lieblingsfarbe.,Turquoise is my favourite colour.
Stelle die Gläser bitte auf das Tablett.,Please put the glasses on the tray.
Die Pfanne steht auf dem Herd.,The frying pan is on the stove.
Ich esse am liebsten gebratenes Hähnchen.,My favourite food is fried chicken.
Die Schafe sind auf der Wiese.,The sheep are on the meadow.
Ich verzichte auf mein Dessert.,I can do without my dessert.
Ich konnte den Film wegen seiner Länge nicht zu Ende sehen.,I could not watch the film to the end due to its length.
Ich habe gebrauchte Kleidung abzugeben.,I have some used clothes to give away.
Der Braten steht auf dem Tisch.,The roast is on the table.
Diese Leute sind kein guter Umgang für dich.,These folks are not good company for you.
Der Bergsteiger greift das Seil und zieht sich hoch.,The mountaineer grabs the rope and pulls himself up.
Meine Kollegen klagen über lange Arbeitszeiten.,My colleagues complain about long working hours.
"In München kauft man beim Bäcker eine ""Semmel"".","In Munich, you can buy a ""Semmel"" (type of bread roll) at the bakery."
"Zieh' Socken an, wenn du kalte Füße hast.",Put on some socks if your feet are cold.
Unsere Gäste bringen ihre Ehepartner mit.,Our guests are coming with their spouses.
Die Polizei hat eine wichtige Meldung.,The police have an important message.
Im Herbst erntet der Bauer das Getreide.,"In autumn, the farmer harvests the crop."
Dieser Vorschlag hört sich gut an.,This suggestion sounds good.
Wirf die Klamotten in die Kiste!,Just throw those rags in the box!
Das ist schon lange her!,That's a long time ago!
"Du hast ja Recht, aber meine Meinung gefällt mir besser!","You are right, but I like my opinion better!"
"Es gibt Dinge, die man nicht verzeihen kann.",There are things you can't forgive.
Können Sie mir das einpacken?,Can you pack this for me? (to take away)
Ich bleibe hoffnungsvoll.,I remain hopeful.
Für dieses Tier kam jede Hilfe zu spät.,For this animal any help came too late.
Er faltete das Blatt in der Mitte.,He folded the paper in the middle.
Die heutigen Schlagzeilen sind fürchterlich.,Today's headlines are horrible.
Nur zur Erinnerung: Am Montag ist wieder Schule!,Just a reminder: Monday school starts again!
Der Karneval hat in Deutschland eine lange Tradition.,The carnival has a long tradition in Germany.
Wieso hat er ihn angebrüllt?,Why did he yell at him?
Welches Obst und Gemüse hat jetzt Saison?,What fruits and vegetables are in season now?
Ihm lief der Schweiß über das Gesicht.,The sweat poured off his face.
Ich bin wunschlos glücklich.,I'm perfectly happy.
Sein Tweet heute Morgen sorgte für Verwirrung.,His tweet this morning caused confusion.
Pass auf! Tritt nicht auf den Hund!,Watch out! Do not step on the dog!
Das Medikament konnte ihn nicht heilen.,The medicine could not heal him.
Das war nur ein Einzelfall.,This was only an isolated case.
Er wird heute Abend im Fernsehen auftreten.,He will appear on television tonight.
Du solltest diese Gelegenheit auf jeden Fall nutzen!,You should definitely use this opportunity!
"""Will sie wirklich nichts mehr von mir wissen?"" - ""Ganz genau!""","""She really doesn't want anything to do with me anymore?"" - ""That's right!"""
Er hat Tag und Nacht geschuftet.,He worked day and night.
Dieses Getränk geht auf das Haus.,This drink is on the house.
Nichts ist so beständig wie der Wechsel!,Nothing is as constant as change!
Der Hut liegt auf der Kommode.,The hat is on the chest of drawers.
Ich habe sowohl bunte als auch schwarze Socken.,I have both colourful and black socks.
Ich habe vor nichts Angst - nicht mal vor dem Teufel!,I'm not afraid of anything - not even the devil!
Die Vorstellung ist leider ausverkauft.,Unfortunately the performance is sold out.
Er zuckte mit den Achseln.,He shrugged.
Ich bemerkte ihren Kummer nicht.,I didn't notice her grief.
Die Bretter sind 80 cm lang und 20 cm breit.,The boards are 80 cm long and 20 cm wide.
Wann kommt die Hauptspeise?,When does the main course come?
Mach das Fenster zu!,Close the window!
Der Mörder ist immer noch auf freiem Fuß.,The killer is still on the loose.
Sie haben sich im Flur kurz unterhalten.,They have been talking briefly in the hallway.
Eine überlebende Stewardess berichtete von technischen Problemen.,A surviving stewardess reported technical problems.
Wir sollten seine Vorschläge ernsthaft prüfen.,We should seriously consider his suggestions.
"Er fuhr langsam, um die Landschaft zu genießen.",He drove slowly to appreciate the scenery.
Dieses Update behebt viele Fehler.,This update fixes a lot of bugs.
Pünktlichkeit ist eine Tugend.,Punctuality is a virtue.
Menschen mit einem schwachen Immunsystem können sich leicht erkälten.,People with weak immune systems easily catch a cold.
Ich habe seit gestern eine Erkältung.,I've had a cold since yesterday.
Unter meinem Bett ist ein Monster.,There is a monster under my bed.
Warum versteckst du dich unter dem Bett?,Why are you hiding under the bed?
"Triff niemals eine Entscheidung, wenn du verärgert bist.",Never make a decision when you're angry.
"Mandeln zu essen, hilft Diabetes vorzubeugen.",Eating almonds helps to prevent diabetes.
Mandeln sind ein gesunder Snack.,Almonds are a healthy snack.
Recycling spart Geld.,Recycling saves money.
"Eltern sollten Kinder ermutigen, mehr zu lesen.",Parents should encourage children to read more.
Die meisten Kinder mögen keinen Rosenkohl.,Most children don't like Brussels sprouts.
Sei vorsichtig. Der Tee ist sehr heiß!,Be careful. The tea is very hot!
Er hat das Interview für diesen Film abgelehnt.,He declined to be interviewed for this film.
Der Papst küsste nach einer sicheren Landung den Boden.,The pope kissed the ground after landing safely.
Ich bin ein Berliner.,I am a Berliner.
In diesem Punkt stimme ich dir zu.,Regarding this point I agree with you.
"Manchmal muss man etwas ändern, um vorwärts zu kommen!",Sometimes you have to change something to get ahead!
Ihr Plan ging nicht auf.,Her plan didn't work out.
Morgen wird die Sonne aufgehen.,Tomorrow the sun will rise.
Diese Studie untersucht die Wirkung von Werbung auf Kinder.,This study examines the effect of advertising on children.
Sind die Angaben falsch?,Are the details wrong?
Die Vorlesung hat bereits begonnen.,The lecture has already begun.
Hier lernst du ohne viel Mühe Deutsch!,Here you'll learn German without much effort!
Für meine Begriffe ist das fast unmöglich.,In my view it is almost impossible.
Er übertreibt schon wieder!,He's exaggerating again!
An der neuen Schule fand er gleich Anschluss.,At the new school he immediately found new friends.
"In Bayern sagt man statt ""Guten Tag!"" ""Grüß Gott!"".","In Bavaria you say ""Grüß Gott!"" instead of ""Guten Tag!""."
Die Stimmung ist angespannt.,The mood is tense.
"""Bist du soweit?"" - ""Nein, noch nicht! In 5 Minuten bin ich soweit!""","""Are you ready?"" - ""No, not yet! I'll be ready in 5 minutes!"""
Füge den kopierten Paragraphen hier ein.,Paste the copied paragraph here.
Das Lagerhaus brennt.,The warehouse is on fire.
"Ich nahm mir vor, mich zusammenzureißen.",I decided to pull myself together.
Wollen Sie zusammen oder getrennt zahlen?,Would you like to pay together or separately?
Wir lachten uns halbtot.,We nearly died laughing.
Macht macht korrupt und absolute Macht macht absolut korrupt.,Power corrupts and absolute power corrupts absolutely.
Das System ist manipuliert.,The system is rigged.
Er betreibt einen kleinen Naturkostladen.,He runs a small health food shop.
Kannst du eine ruhige Wohngegend empfehlen?,Can you recommend a quiet residential area?
Ich habe den Entwurf noch nicht gesehen.,I haven't seen the design yet.
Sie hat es ohne Erlaubnis gemacht.,She did it without permission.
"""Bis wann brauchst du das zurück?"" - ""Keine Eile!""","""When will you need it back?"" - ""No rush!"""
Ist es jemals in Ordnung zu einem James Blunt Lied zu weinen?,Is it ever okay to cry to a James Blunt song?
Wir werden das schon irgendwie schaffen!,We will get through this somehow!
Es kamen zahlreiche Besucher.,There were many visitors.
Zur Strafe musste er sich in die Ecke stellen.,As punishment he had to stand in the corner.
Jede Rose hat Dornen.,Every rose has thorns.
Wo ist mein Wintermantel?,Where is my winter coat?
Kannst du bitte einen Termin beim Zahnarzt für mich vereinbaren?,Can you please arrange a dental appointment for me?
Diese Redewendung kannte ich nicht.,I didn't know this figure of speech.
Wie können wir die Konkurrenz abhängen?,How can we shake off the competition?
Zum Trinken hätte ich gerne ein Mineralwasser.,To drink I'd like a mineral water.
Er überprüft immer alles sehr sorgfältig.,He always checked everything very carefully.
Wir sollten keine Zeit mehr vergeuden!,We shouldn't waste any more time!
"Hast du was dagegen, wenn ich die Vorhänge schließe?",Do you mind if I close the curtains?
Die Arbeit einer Mutter ist nie zu Ende.,A mother's job is never finished.
Sie ist Rechtshänderin.,She's right-handed.
Es gibt mehr Schafe als Menschen in Neuseeland.,There are more sheep than people in New Zealand.
Wann kommt das Flugzeug an? In einer Stunde.,When will the plane arrive? In one hour.
Mein Führerschein ist im Handschuhfach.,My driver's license is in the glovebox.
Rauche nicht! Es ist schlecht für dich.,Don't smoke! It's bad for you.
Möchtest du Popcorn?,Do you want popcorn?
"Ich war nicht unhöflich, ich war nur ehrlich.","I wasn't rude, I was just honest."
Dieses Buch ist in 24 Sprachen übersetzt worden.,This book has been translated into 24 languages.
Sie hat sich selbst auf die Party eingeladen.,She invited herself to the party.
Er warf eine Münze in den Brunnen.,He threw a coin into the fountain.
Die Sowjetunion zerbrach 1991.,The Soviet Union collapsed in 1991.
In Brasilien leben viele Libanesen.,A lot of Lebanese people live in Brazil.
Gebratene Bananen schmecken köstlich.,Fried bananas taste delicious.
Alkohol ist schädlich für die Leber.,Alcohol is harmful to the liver.
Das Feuer zerstörte vier Fünftel der Stadt.,The fire destroyed four fifths of the city.
Ist das Parken kostenlos im Einkaufszentrum?,Is parking free at the shopping mall?
Es gibt nur 8 Songs auf diesem Album.,There are only 8 songs on this album.
Ich trinke nur koffeinfreien Kaffee.,I only drink decaffeinated coffee.
Das Dach ist einsturzgefährdet.,The roof is in danger of collapsing.
Wann kann ich das Krankenhaus verlassen?,When will I be able to leave the hospital?
Er repariert den Traktor.,He is repairing the tractor.
Die Immobilienpreise steigen.,House prices are rising.
Das Leben ist zu kurz für schlechten Kaffee.,Life is too short for bad coffee.
Badminton ist in Asien sehr beliebt.,Badminton is very popular in Asia.
Es ist wirklich bequem von zu Hause aus einzukaufen.,It's really convenient to shop from home.
Das Militär verkündete das Kriegsrecht.,The military declared martial law.
"Jetzt verstehst du, warum Peter Pan nicht erwachsen werden wollte!",Now you understand why Peter Pan didn't want to grow up!
Ich möchte 100 Dollar von meinem Sparkonto abheben.,I'd like to withdraw $100 from my savings account.
Hast du einen Aschenbecher?,Do you have an ashtray?
"Es gibt viele Möglichkeiten, den Ruhestand zu genießen.",There are many ways to enjoy your retirement.
"Es scheint, dass das Tier an Stress gestorben ist.",It seems the animal died from stress.
Sicherheit ist von größter Bedeutung für uns.,Security is of paramount importance to us.
8 Millionen Menschen sind nach dem Sturm ohne Strom.,8 million people are without power after the storm.
"Sie zogen nach Neuseeland, um ihren Ruhestand zu genießen.",They moved to New Zealand to enjoy their retirement.
Ich möchte 100 Dollar auf mein Sparkonto einzahlen.,I'd like to deposit $100 into my savings account.
Ich verbrachte 3 Monate auf den Seychellen.,I spent 3 months in the Seychelles.
"Politiker versprechen immer, die Steuern zu senken.",Politicians always promise to cut taxes.
Mein erstes Haustier war ein Goldfisch.,My first pet was a goldfish.
Brasilianer feiern gern.,Brazilians love to party.
Er ist Professor an einer berühmten Universität.,He is a professor at a famous university.
Viele Menschen haben keinen Zugang zu sauberem Wasser.,A lot of people do not have access to clean water.
Behandle mich nicht wie ein Kind.,Don't treat me like a child.
Von welchem Terminal fliegt Cathay Pacific ab?,Which terminal does Cathay Pacific fly from?
Viele Juden leben in Nordlondon.,A lot of Jewish people live in north London.
Die Herdplatte ist heiß.,The stove top is hot.
Unser Reiseleiter ist da drüben.,Our tourist guide is over there.
Die besten Sachen im Leben gibt es umsonst.,The best things in life are free.
UV-Licht kommt im Sonnenlicht vor.,UV light is found in sunlight.
Das Schiff wurde von Piraten angegriffen.,The ship was attacked by pirates.
Wilderer haben diese Nashörner getötet.,Poachers have killed these rhinos.
Er pflanzte einen Baum vor dem Haus.,He planted a tree in front of the house.
Was soll ich meinen Hühnern füttern?,What should I feed my chickens?
In der Flasche ist eine Nachricht.,There is a message inside the bottle.
Jemand schickt mir anonyme Liebesbriefe.,Somebody sends me anonymous love letters.
"Was war zuerst da, das Huhn oder das Ei?","Which came first, the chicken or the egg?"
"Heirate, und du wirst es bedauern. Heirate nicht, und du wirst es auch bedauern.","Marry, and you will regret it. Do not marry, and you will also regret it."
"Ich bin spontan, aber meine Frau plant gerne alles.",I'm spontaneous but my wife likes to plan everything.
"Seine letzten Worte waren: ""Ich kann fliegen!""","His last words were: ""I can fly!"""
"Ich liebe dieses Lied, aber es macht mich immer ein bisschen traurig.",I love this song but it always makes me a bit sad.
Sie hat ein Muttermal auf dem Rücken.,She has a mole on her back.
Angelina hat üppigen Lippen.,Angelina has luscious lips.
James Watt war ein schottischer Erfinder.,James Watt was a Scottish inventor.
"Leute behandeln dich anders, wenn du elegant angezogen bist.",People treat you differently if you dress smart.
Die chinesische Sprache hat eine einfache Grammatik.,The Chinese language has a simple grammar.
Muss ich Antibiotika nehmen?,Will I have to take antibiotics?
Curryhuhn ist ein traditionelles indisches Gericht.,Curry chicken is a traditional Indian dish.
Was ist die Währung in Thailand?,What is the currency in Thailand?
Religiöser Glaube ist normalerweise eine private Angelegenheit.,Religious belief is usually a private affair.
"Er weiß, wie man das perfekte Sandwich macht.",He knows how to make the perfect sandwich.
Der Valentinstag ist am 14. Februar.,Valentine's Day is on February 14th.
Mayonnaise enthält viel Cholesterin.,Mayonnaise contains a lot of cholesterol.
Schnell! Versteck dich in der Scheune!,Quick! Hide in the barn!
Es gibt sieben Kontinente in der Welt.,There are 7 continents in the world.
Gute Manieren kosten nichts!,Good manners cost nothing!
Wir könnten uns gegenseitig bei den Hausaufgaben helfen.,We could help each other with the homework assignments.
Seine Schallplattensammlung ist beachtlich.,His record collection is impressive.
Das habe ich mir selbst beigebracht.,I taught that to myself.
"Man ist so alt, wie man sich fühlt.",You're as old as you feel.
Oliver programmiert oft bis spät in die Nacht.,Oliver often programs late into the night.
Du kannst hier nicht wenden.,You can't turn around here. (car)
Der Arzt hat ihn gründlich untersucht.,The doctor examined him thoroughly.
Iss langsam! Dieser Fisch enthält viel Gräten.,Eat slowly! This fish has a lot of bones.
Hast du den Fahrschein entwertet?,Did you validate the ticket?
Isst du gerne Kartoffelsalat?,Do you like eating potato salad?
Wie ist die Wetterlage?,How is the weather situation?
Wären Sie daran interessiert mich einzustellen?,Would you be interested in employing me?
Ich fahre gerne mit der Straßenbahn.,I like riding the tram.
Worauf muss ich besonders achten?,To what should I pay special attention?
"Falls du Hilfe brauchst, melde dich bei mir!",If you need help please get in touch!
Sein Verhalten kommt mir seltsam vor.,His behaviour seems strange to me.
Tee aus Taiwan ist weltberühmt.,Taiwanese tea is world famous.
Das Schicksal hat uns zusammengebracht.,Destiny brought us together.
"Der Spieleabend ist heute, nicht Montag.","Game night is today, not Monday."
Es wird schon klappen!,It will work out all right!
Mundgeruch macht einsam.,Bad breath makes one lonely.
"Lache, und die Welt lacht mit dir, weine, und du weinst alleine.","Laugh and the world laughs with you, weep, and you weep alone."
Nur Hunde können diese hohe Frequenz hören.,Only dogs can hear this high frequency.
"""Heute ist mein Glückstag!"", sagte er und lächelte.","""Today is my lucky day,"" he said and smiled."
Er entfernte den Fleck mit Essig.,He removed the stain with vinegar.
Statt Champagner trank er Orangensaft.,Instead of champagne he drank orange juice.
Dies ist ein äußerst komplizierter Fall.,This is an extremely complex case.
Sie will sich von ihm trennen.,She wants to break up with him.
Das allerwichtigste im Leben sind gute Freunde.,The most important thing in life is having good friends.
Er zögerte einen Moment.,He hesitated for a moment.
Heute früh war es sehr kühl.,It was very cold this morning.
Wir müssen zusammenhalten.,We must stick together.
